Name,Email,Job,Card,Product,Quantity,PriceUSD,TaxPercentage
David Taylor,zsmith@morris.info,Engineer,Visa,Gaming Console,5,25.1,0.2
Carlos Davis,carterjames@ortega.biz,Engineer,MasterCard,Printer,4,46.44,0.16
Tamara Gonzalez,pamelarivera@hotmail.com,Data Scientist,Visa,Smartphone,2,211.24,0.15
Adrian Warren,dylanmullins@weaver.com,Manager,Visa,Laptop,1,39.93,0.18
Sheila Clay,cscott@rivera.com,Analyst,MasterCard,Printer,4,109.31,0.16
Michael Simmons,jeremydiaz@hotmail.com,Designer,MasterCard,Laptop,5,256.57,0.18
Christina Moreno,michael55@walker.biz,Engineer,MasterCard,Smartphone,4,26.52,0.15
William Martinez,jharrell@nelson.com,Analyst,Visa,Keyboard,1,248.05,0.1
Christine Rodgers,vmartin@hotmail.com,Designer,Visa,Headphones,4,98.92,0.12
Dylan Warren,larrymccann@oneill-martinez.com,Analyst,Visa,Tablet,3,53.09,0.13
David Grimes,brandonray@yahoo.com,Software Engineer,American Express,Gaming Console,4,215.09,0.2
Jason Montoya,esmith@morgan-richards.biz,Designer,Visa,Gaming Console,2,196.1,0.2
Richard Thompson,melissasmith@hotmail.com,Analyst,MasterCard,Keyboard,2,265.69,0.1
Kevin Owen,navarrosandy@gmail.com,Engineer,MasterCard,Tablet,3,225.82,0.13
Stacy Cooper,jasminelopez@underwood-parsons.com,Designer,MasterCard,Laptop,1,244.97,0.18
Christopher Norton,hensleyashley@miller.com,Software Engineer,Visa,Headphones,2,98.97,0.12
